Street Condition Complaint Type
Blocked - Construction
Cave-in
Crack Sealing
Crash Cushion Defect
Defacement
Defective Hardware
Depression Maintenance
Dumpster - Causing Damage
Dumpster - Construction Waste
Failed Street Repair
General Bad Condition
Guard Rail - Street
Hummock
Line/Marking - After Repaving
Line/Marking - Faded
Maintenance Cover
Plate Condition - Anti-Skid
Plate Condition - Noisy
Plate Condition - Open
Plate Condition - Shifted
Pothole
"Rough, Pitted or Cracked Roads"
Strip Paving
Suspected Street Cut
Unsafe Worksite
Wear & Tear
