zip1,borough,asphalt,missing,faded,complaints,income,pop,pwhite,pblack,pcomp
ZIP_10001,MANHATTAN,1497,1,23,1521,159847,22767,60.5,11.4,0.066807221
ZIP_10002,MANHATTAN,1530,7,38,1575,75330,79894,31.2,7.6,0.019713621
ZIP_10003,MANHATTAN,1753,3,38,1794,159651,57068,77.2,4.6,0.031436181
ZIP_10004,MANHATTAN,465,0,14,479,186872,3024,77.4,2.3,0.158399471
ZIP_10005,MANHATTAN,389,0,6,395,187011,7570,74.9,3.7,0.052179657
ZIP_10006,MANHATTAN,209,0,4,213,163900,2950,71.5,3.2,0.07220339
ZIP_10007,MANHATTAN,685,1,20,706,415435,6748,67.2,7,0.104623592
ZIP_10009,MANHATTAN,903,7,13,923,99435,61806,59.8,6.8,0.014933825
ZIP_10010,MANHATTAN,624,1,16,641,163529,30708,72.4,6.5,0.020874039
ZIP_10011,MANHATTAN,1473,4,30,1507,196497,52941,79.3,3.8,0.02846565
ZIP_10012,MANHATTAN,799,0,19,818,144485,24846,76,2.4,0.032922804
ZIP_10013,MANHATTAN,1634,2,29,1665,226647,26937,56.3,4.2,0.061810892
ZIP_10014,MANHATTAN,1126,2,24,1152,176533,31835,89.3,1.6,0.036186587
ZIP_10016,MANHATTAN,1541,4,24,1569,165258,50112,72.1,3.8,0.031309866
ZIP_10017,MANHATTAN,1048,0,5,1053,166068,16278,72.6,2.8,0.064688537
ZIP_10018,MANHATTAN,687,0,11,698,144821,8062,55.6,6.1,0.086579013
ZIP_10019,MANHATTAN,2079,2,47,2128,145975,38752,72.5,5.5,0.054913295
ZIP_10021,MANHATTAN,1054,2,18,1074,184393,42142,84.1,2,0.025485264
ZIP_10022,MANHATTAN,1812,1,26,1839,212092,29699,86.1,1.6,0.061921277
ZIP_10023,MANHATTAN,1438,5,21,1464,192865,60762,83.1,2.8,0.024094006
ZIP_10024,MANHATTAN,1080,4,5,1089,195093,59249,81.3,6.1,0.018380057
ZIP_10025,MANHATTAN,1436,14,33,1483,131372,97373,64.7,15.5,0.015230095
ZIP_10026,MANHATTAN,460,4,7,471,89901,38372,23.9,57.4,0.012274575
ZIP_10027,MANHATTAN,1306,2,27,1335,86324,63057,28.5,41.7,0.021171321
ZIP_10028,MANHATTAN,870,5,9,884,196198,46169,88.4,1.2,0.019147047
ZIP_10029,MANHATTAN,1350,2,17,1369,71786,77857,32.1,30.5,0.017583519
ZIP_10030,MANHATTAN,291,0,5,296,61402,29530,13,70.5,0.010023705
ZIP_10031,MANHATTAN,708,1,6,715,62336,58912,27.6,34.1,0.012136746
ZIP_10032,MANHATTAN,886,5,25,916,55024,59069,29.8,21.8,0.015507288
ZIP_10033,MANHATTAN,944,6,21,971,69811,60520,41.7,8.6,0.016044283
ZIP_10034,MANHATTAN,947,2,45,994,62728,42672,36.2,7.9,0.023293963
ZIP_10035,MANHATTAN,694,2,15,711,63897,34760,21.4,41.5,0.020454545
ZIP_10036,MANHATTAN,1735,2,19,1756,127438,24127,66.9,7.4,0.072781531
ZIP_10037,MANHATTAN,240,1,13,254,56809,18041,10.7,73.8,0.014079042
ZIP_10038,MANHATTAN,570,0,4,574,141608,20997,49.4,6,0.027337239
ZIP_10039,MANHATTAN,271,0,7,278,52952,25952,13.9,65,0.010712084
ZIP_10040,MANHATTAN,544,3,15,562,65091,45278,38.3,9.9,0.012412209
ZIP_10044,MANHATTAN,8,0,0,8,116573,12050,55.8,14.1,0.0006639
ZIP_10065,MANHATTAN,1041,1,13,1055,200596,31761,87.4,3,0.033216838
ZIP_10069,MANHATTAN,43,0,1,44,230004,5523,75.9,2.8,0.007966685
ZIP_10075,MANHATTAN,630,1,6,637,190868,24377,89.2,1,0.026131189
ZIP_10128,MANHATTAN,961,2,19,982,175270,62447,81.2,4.7,0.015725335
ZIP_10162,MANHATTAN,1,0,0,1,214973,1252,94.9,0,0.000798722
ZIP_10280,MANHATTAN,94,0,5,99,185322,8817,71.9,0.9,0.011228309
ZIP_10282,MANHATTAN,26,1,4,31,340196,5903,73.5,1.4,0.005251567
ZIP_10301,STATEN ISLAND,3407,8,39,3454,84284,39367,57.6,26,0.087738461
ZIP_10302,STATEN ISLAND,1139,0,10,1149,80774,18043,60.8,20,0.063681206
ZIP_10303,STATEN ISLAND,1549,4,8,1561,79488,24348,38.7,37.3,0.064112042
ZIP_10304,STATEN ISLAND,3283,5,37,3325,86741,41864,50.6,26.6,0.079423849
ZIP_10305,STATEN ISLAND,3483,7,26,3516,88783,41471,77.5,4.3,0.084782137
ZIP_10306,STATEN ISLAND,5510,17,95,5622,101351,54888,89,3.1,0.10242676
ZIP_10307,STATEN ISLAND,1021,0,11,1032,111811,15006,94.2,0.1,0.068772491
ZIP_10308,STATEN ISLAND,2768,1,24,2793,105838,29805,93.8,0.1,0.093709109
ZIP_10309,STATEN ISLAND,3929,10,27,3966,116523,33382,91.7,2.4,0.118806542
ZIP_10310,STATEN ISLAND,1969,0,19,1988,82566,24719,57.2,26.6,0.080423965
ZIP_10312,STATEN ISLAND,5685,24,87,5796,104570,61105,92.4,0.9,0.094853122
ZIP_10314,STATEN ISLAND,7603,15,112,7730,95273,87524,77.2,4.5,0.088318633
ZIP_10451,BRONX,1158,5,31,1194,44255,47818,14.8,43.2,0.024969677
ZIP_10452,BRONX,892,0,14,906,39915,75252,15.1,34,0.012039547
ZIP_10453,BRONX,1014,4,26,1044,38229,79002,10.1,32,0.013214855
ZIP_10454,BRONX,916,0,22,938,39218,38751,24.5,32.4,0.024205827
ZIP_10455,BRONX,824,0,8,832,41669,39951,14,31,0.020825511
ZIP_10456,BRONX,1002,3,15,1020,39913,91737,10.5,40.5,0.011118742
ZIP_10457,BRONX,1211,1,30,1242,40428,71015,14.2,38.1,0.017489263
ZIP_10458,BRONX,1053,2,23,1078,44756,76276,19.4,21.3,0.014132886
ZIP_10459,BRONX,888,0,6,894,43997,48269,12.5,31.2,0.018521204
ZIP_10460,BRONX,968,1,38,1007,41298,58676,12.7,27.2,0.017162042
ZIP_10461,BRONX,2212,3,193,2408,76210,52435,49.7,8,0.045923524
ZIP_10462,BRONX,1191,3,100,1294,60092,76114,23.3,28,0.017000815
ZIP_10463,BRONX,2318,6,128,2452,82651,71238,44.8,15.7,0.034419832
ZIP_10464,BRONX,619,0,31,650,96252,4532,81.6,1.8,0.143424537
ZIP_10465,BRONX,1636,3,273,1912,88110,46360,63.5,10.2,0.04124245
ZIP_10466,BRONX,1824,2,36,1862,60266,69657,7.7,73.6,0.026730982
ZIP_10467,BRONX,1320,3,56,1379,53563,99251,19.5,36.8,0.013894067
ZIP_10468,BRONX,1084,2,43,1129,46712,72683,13.5,22.7,0.015533206
ZIP_10469,BRONX,1718,7,43,1768,73822,72241,20,54.5,0.024473637
ZIP_10470,BRONX,490,4,11,505,72612,14880,44.9,33.7,0.033938172
